Ref,Val,Package,PosX,PosY,Rot,Side
"C11","1u","C0402",10.850000,64.250000,-0.000000,bottom
"C12","4u7","C0402",14.706100,58.516400,270.000000,bottom
"C13","4u7","C0402",14.706100,57.246400,270.000000,bottom
"C14","100n","C0402",10.595400,12.856800,90.000000,bottom
"C15","100n","C0402",10.705000,22.704000,-0.000000,bottom
"C16","10u","C0402",24.866100,62.326400,-0.000000,bottom
"C17","10u","C0402",22.326100,62.326400,-0.000000,bottom
"C23","4u7","C0402",17.246100,65.501400,270.000000,bottom
"C28","100n","C0402",6.451100,52.166400,90.000000,bottom
"C30","1u","C0402",13.618000,12.044000,90.000000,bottom
"D1","MBR0520LT","SOD123",6.451100,64.231400,270.000000,bottom
"D2","MBR0520LT","SOD123",19.786100,68.676400,90.000000,bottom
"D8","PESD0402-140","0402-TVS",12.166100,68.041400,-0.000000,bottom
"D9","PESD0402-140","0402-TVS",12.166100,69.311400,-0.000000,bottom
"D10","PESD0402-140","0402-TVS",12.166100,70.581400,-0.000000,bottom
"D11","PESD0402-140","0402-TVS",28.041100,62.391400,270.000000,bottom
"D12","PESD0402-140","0402-TVS",29.311100,62.391400,270.000000,bottom
"D13","PESD0402-140","0402-TVS",29.311100,55.341400,90.000000,bottom
"D14","PESD0402-140","0402-TVS",30.581100,55.341400,90.000000,bottom
"F1","6V/0.5A","1206",6.451100,58.516400,270.000000,bottom
"IC2","BQ2407X","VQFN16",11.531100,59.786400,180.000000,bottom
"IC3","ADS1232","TSSOP24",12.655000,17.484000,180.000000,bottom
"IC4","DS18B20U","UMAX8",29.150000,50.750000,-0.000000,bottom
"IC5","XC6220B331","SOT25",23.596100,59.151400,270.000000,bottom
"IC7","TPS22919","sot-sc70-6",10.140774,10.467792,180.000000,bottom
"L2","","SM-1206",17.246100,68.676400,270.000000,bottom
"P1","PKMCS","PKMCS_BUZZER",10.300000,33.925000,270.000000,bottom
"R3","0R","C0402",12.801100,64.231400,180.000000,bottom
"R4","1k18","C0402",8.991100,64.231400,180.000000,bottom
"R5","680R","C0402",14.706100,64.231400,180.000000,bottom
"R15","NTC 103AT","C0402",16.611100,61.373900,90.000000,bottom
"R16","4M7","C0402",6.451100,48.356400,90.000000,bottom
"R17","10M","C0402",6.451100,50.261400,270.000000,bottom
"R18","4k7","C0402",26.730000,52.680000,180.000000,bottom
"TP10","TPTP08R","TP08R",25.300000,51.100000,180.000000,bottom
"TP11","TPTP08R","TP08R",18.198600,50.896400,180.000000,bottom
"C1","100n","C0402",15.341100,58.516400,270.000000,top
"C2","1u","C0402",18.516100,58.516400,90.000000,top
"C3","15p","C0402",7.721100,56.611400,270.000000,top
"C4","15p","C0402",7.721100,54.071400,270.000000,top
"C5","100n","C0402",13.025000,44.575000,0.000000,top
"C6","100n","C0402",21.691100,56.293900,180.000000,top
"C7","100n","C0402",9.626100,50.896400,0.000000,top
"C8","10u","C0402",15.341100,60.421400,270.000000,top
"C9","10u","C0402",7.721100,50.896400,0.000000,top
"C10","100p","C0402",26.790000,53.570000,270.000000,top
"C18","47p","C0402",11.848600,13.113900,270.000000,top
"C19","47p","C0402",11.848600,9.303900,270.000000,top
"C20","47p","C0402",11.848600,5.493900,270.000000,top
"C21","47p","C0402",25.183600,8.668900,90.000000,top
"C22","100n","C0402",25.183600,7.081400,90.000000,top
"C24","100n","C0402",32.900000,47.000000,90.000000,top
"C25","56p","C0402",32.900000,44.400000,90.000000,top
"C26","15p","C0402",32.900000,43.100000,90.000000,top
"C27","10n","C0402",32.900000,45.700000,90.000000,top
"C29","100u","1206",27.100000,49.400000,180.000000,top
"C31","1u","C0402",15.100000,31.100000,180.000000,top
"C32","1u","C0402",13.800000,31.050000,180.000000,top
"D4","PESD0402-140","0402-TVS",11.848600,7.081400,180.000000,top
"D5","PESD0402-140","0402-TVS",25.183600,10.256400,0.000000,top
"D6","PESD0402-140","0402-TVS",11.848600,10.891400,180.000000,top
"D7","PESD0402-140","0402-TVS",11.848600,14.701400,180.000000,top
"IC1","ATSAMD21G","TQFP48",12.596100,55.531400,270.000000,top
"IC6","SARA-N310","SARA-N3",24.650000,40.300000,0.000000,top
"J1","U.FL","U.FL",27.975000,44.950000,270.000000,top
"J2","U.FL(2)","U.FL",23.557400,44.962400,270.000000,top
"JP3","JST PH","JST_PH_B10B-PH-SM4-TB_1x10-1MP_P2.00mm_Vertical",4.270800,19.556600,270.000000,top
"JP4","M02-JST-2MM-SMT","1X02_2MM_Pad_only",32.100000,10.500000,270.000000,top
"K1","693043020611","693043020611",18.516100,13.431400,0.000000,top
"L1","","SM-1206",9.650000,45.000000,0.000000,top
"Q1","32768 Hz","FC135",10.261100,55.341400,270.000000,top
"Q2","DTC123JET1G","SC75_SOT416",14.447499,24.900002,0.000000,top
"Q3","DTC123JET1G","SC75_SOT416",14.452498,21.599999,0.000000,top
"R1","330","C0402",26.800000,56.310000,270.000000,top
"R2","2k2","C0402",26.800000,55.030000,90.000000,top
"R11","0R","C0402",14.275000,29.425000,270.000000,top
"R12","0R","C0402",14.250000,28.300000,270.000000,top
"R13","2k","C0402",5.142400,34.388000,0.000000,top
"R14","2k","C0402",6.641000,34.396000,0.000000,top
"R21","0R","C0402",6.453400,39.124800,90.000000,top
"R22","0R","C0402",6.453400,40.424800,90.000000,top
"R23","0R","C0402",10.984400,42.033400,0.000000,top
"R24","0R","C0402",8.927000,41.609600,90.000000,top
"R25","1M","C0402",8.698400,33.372000,180.000000,top
"TP1","TPTP08R","TP08R",15.000000,37.000000,0.000000,top
"TP2","TPTP08R","TP08R",16.150000,23.750000,0.000000,top
"TP3","TPTP08R","TP08R",21.300000,15.550000,0.000000,top
"TP6","TPTP08R","TP08R",10.737350,50.737650,0.000000,top
"TP9","TPTP08R","TP08R",14.229850,57.087650,0.000000,top
"TP13","TPTP08R","TP08R",15.350000,57.150000,0.000000,top
"TP16","TPTP08R","TP08R",28.700000,56.300000,0.000000,top
"TP19","TPTP08R","TP08R",16.175000,33.700000,270.000000,top
"U1","SN74AVC4T774PWG4","PW16",12.624999,36.704000,270.000000,top
"X1","USB_MICRO_SHIELD","USBMICRO",14.071100,70.962400,180.000000,top
